pre_days,post_days,final,return_pct,trades,wins,win_pct,profit_factor
730,598,415972895.6322295,4159628.9563222947,3,3,100.0,inf
730,608,343709163.8118021,3436991.6381180207,3,3,100.0,inf
740,488,2136554991.8589258,21365449.918589257,4,4,100.0,inf
740,498,1723417335.385398,17234073.35385398,4,4,100.0,inf
740,508,3453753182.8795652,34537431.82879566,4,4,100.0,inf
740,518,5482518785.99496,54825087.859949596,4,4,100.0,inf
740,528,7330870998.006968,73308609.98006967,4,4,100.0,inf
740,538,6263407634.788928,62633976.34788929,4,4,100.0,inf
740,548,8796586460.950197,87965764.60950197,4,4,100.0,inf
740,558,6371130073.580564,63711200.73580564,4,4,100.0,inf
740,568,5752364160.729264,57523541.60729265,4,4,100.0,inf
740,578,3123848679.4906483,31238386.794906482,4,4,100.0,inf
740,588,271719751.67993265,2717097.5167993265,3,3,100.0,inf
740,598,276308963.49344236,2762989.6349344235,3,3,100.0,inf
740,608,228307958.98779368,2282979.589877937,3,3,100.0,inf
750,488,2657284790.2367907,26572747.902367905,4,4,100.0,inf
750,498,2143455558.1298244,21434455.581298243,4,4,100.0,inf
750,508,4295515836.038804,42955058.36038804,4,4,100.0,inf
750,518,6818740373.041534,68187303.73041534,4,4,100.0,inf
750,528,9117580439.735378,91175704.39735378,4,4,100.0,inf
750,538,7789950601.035861,77899406.0103586,4,4,100.0,inf
750,548,10940525985.876083,109405159.85876085,4,4,100.0,inf
750,558,7923927587.005775,79239175.87005776,4,4,100.0,inf
750,568,7154353550.6706915,71543435.50670692,4,4,100.0,inf
750,578,302091239.89946026,3020812.3989946027,3,3,100.0,inf
750,588,311542480.18229663,3115324.8018229664,3,3,100.0,inf
750,598,316804278.1252994,3167942.7812529937,3,3,100.0,inf
750,608,261768337.96093997,2617583.3796093995,3,3,100.0,inf
760,488,3706990248.543875,37069802.48543875,4,4,100.0,inf
760,498,2990183393.7288976,29901733.937288977,4,4,100.0,inf
760,508,5992370624.016818,59923606.24016818,4,4,100.0,inf
760,518,9512342885.899317,95123328.85899317,4,4,100.0,inf
760,528,12719292228.13999,127192822.2813999,4,4,100.0,inf
760,538,10867209649.781343,108671996.49781343,4,4,100.0,inf
760,548,15262354751.2081,152623447.512081,4,4,100.0,inf
760,558,11054111476.166122,110541014.76166123,4,4,100.0,inf
760,568,553919852.6926402,5539098.526926402,3,3,100.0,inf
760,578,463247330.77757525,4632373.307775753,3,3,100.0,inf
760,588,477740507.85552895,4777305.07855529,3,3,100.0,inf
760,598,485809308.03986454,4857993.080398645,3,3,100.0,inf
760,608,401413440.1343305,4014034.401343305,3,3,100.0,inf
770,488,8197805719.308527,81977957.19308527,4,4,100.0,inf
770,498,6612626654.877482,66126166.54877482,4,4,100.0,inf
770,508,13251799136.260944,132517891.36260943,4,4,100.0,inf
770,518,21036024830.30007,210360148.30300072,4,4,100.0,inf
770,528,28128017497.31076,281280074.9731076,4,4,100.0,inf
770,538,24032238405.508675,240322284.05508673,4,4,100.0,inf
770,548,33751860857.6638,337518508.576638,4,4,100.0,inf
770,558,1359229427.2617986,13592194.272617986,3,3,100.0,inf
770,568,1185771359.7662866,11857613.597662866,3,3,100.0,inf
770,578,991669489.1039183,9916594.891039183,3,3,100.0,inf
770,588,1022694905.8813066,10226849.058813065,3,3,100.0,inf
770,598,1039967715.512073,10399577.15512073,3,3,100.0,inf
770,608,859302222.9168288,8592922.229168288,3,3,100.0,inf
780,488,8087111798.079278,80871017.98079278,4,4,100.0,inf
780,498,6523337203.636967,65233272.03636967,4,4,100.0,inf
780,508,13072861788.882725,130728517.88882725,4,4,100.0,inf
780,518,20751978079.831562,207519680.79831564,4,4,100.0,inf
780,528,27748208477.7034,277481984.777034,4,4,100.0,inf
780,538,23707734166.6785,237077241.66678503,4,4,100.0,inf
780,548,1096508350.70234,10964983.5070234,3,3,100.0,inf
780,558,1055058760.8692015,10550487.608692015,3,3,100.0,inf
780,568,920417433.8908296,9204074.338908296,3,3,100.0,inf
780,578,769752009.0287555,7697420.090287556,3,3,100.0,inf
780,588,793834505.4227195,7938245.054227196,3,3,100.0,inf
780,598,807241976.4208115,8072319.764208116,3,3,100.0,inf
780,608,667006114.1548243,6669961.141548243,3,3,100.0,inf
790,488,15101177808.75943,151011678.0875943,4,4,100.0,inf
790,498,12181119474.818424,121811094.74818425,4,4,100.0,inf
790,508,24411139016.297745,244111290.16297743,4,4,100.0,inf
790,518,38750461065.8954,387504510.65895396,4,4,100.0,inf
790,528,51814620665.42055,518146106.65420544,4,4,100.0,inf
790,538,1350118964.681863,13501089.646818632,3,3,100.0,inf
790,548,1814123006.19274,18141130.0619274,3,3,100.0,inf
790,558,1745546552.155354,17455365.52155354,3,3,100.0,inf
790,568,1522788623.5911689,15227786.23591169,3,3,100.0,inf
790,578,1273519556.6433249,12735095.566433249,3,3,100.0,inf
790,588,1313362947.4637048,13133529.474637048,3,3,100.0,inf
790,598,1335544996.1247308,13355349.96124731,3,3,100.0,inf
790,608,1103531164.3403661,11035211.64340366,3,3,100.0,inf
