label,pre_days,post_days,mode,fee,final,return_pct,cagr_pct,trades,wins,win_pct,profit_factor,max_dd_close_pct,start,end,claim_ratio
pantera_like_400_480,400,480,same_close,50bps_side,2303258777.716825,23032487.77716825,134.098899051673,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.18143531168324767
pantera_like_400_480,400,480,next_open,zero,2383374192.594271,23833641.92594271,134.65095103637356,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.1877462678856294
pantera_like_400_480,400,480,next_open,15bps_side,2354944599.6730123,23549345.996730123,134.45705631726085,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.1855067748236255
pantera_like_400_480,400,480,next_open,50bps_side,2289919990.4745326,22899099.904745325,134.00525325496875,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.18038457129567348
round_600_525,600,525,same_open,zero,12733689920.68891,127336799.2068891,163.36384854558685,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.0030748702619587
round_600_525,600,525,same_open,15bps_side,12581798697.751451,125817886.9775145,163.1462280364321,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.9911098962684912
round_600_525,600,525,same_open,50bps_side,12234390719.046202,122343807.19046202,162.63914041226354,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.9637434207740978
round_600_525,600,525,same_close,zero,14764623996.068514,147646139.96068513,166.06236181896872,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.1630582644595906
round_600_525,600,525,same_close,15bps_side,14588507190.261028,145884971.9026103,165.84251149795568,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.1491849611801328
round_600_525,600,525,same_close,50bps_side,14185690079.842527,141856800.79842526,165.33022808593643,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.1174537251213803
round_600_525,600,525,next_open,zero,15163818874.270082,151638088.74270082,166.55178073539764,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.1945041653065003
round_600_525,600,525,next_open,15bps_side,14982940353.781467,149829303.53781468,166.3315260020313,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.1802557660127884
round_600_525,600,525,next_open,50bps_side,14569232175.13299,145692221.7513299,165.8183002500632,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.14766660448861
approx_2y_18m,730,548,same_open,zero,12723718933.019794,127237089.33019795,163.34963704213192,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.0022894225853718
approx_2y_18m,730,548,same_open,15bps_side,12571946646.974968,125719366.46974967,163.13202827610218,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.9903338176443071
approx_2y_18m,730,548,same_open,50bps_side,12224810702.589184,122248007.02589184,162.6249680151331,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.9629887711929801
approx_2y_18m,730,548,same_close,zero,12444119064.54443,124441090.6454443,162.94684499574703,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.9802644162012826
approx_2y_18m,730,548,same_close,15bps_side,12295681928.50093,122956719.28500931,162.729569061314,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.968571532056446
approx_2y_18m,730,548,same_close,50bps_side,11956174191.316532,119561641.91316532,162.22328434665837,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,0.9418273847157866
approx_2y_18m,730,548,next_open,zero,13739488327.560413,137394783.27560413,164.7467123141373,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.082304937333337
approx_2y_18m,730,548,next_open,15bps_side,13575599643.478558,135755896.43478557,164.52794912910247,4,4,100.0,inf,-93.07432432432432,2010-07-27,2025-01-31,1.069394883645308
