mode,end,final,return_pct,trades,wins,win_pct,profit_factor,claim_ratio,abs_pct_gap
next_open,2025-02-07,12951036067.07265,129510260.67072651,4,4,100.0,inf,1.0201959450598923,2.0195945059892306
next_open,2025-02-22,12955999948.923603,129559899.48923604,4,4,100.0,inf,1.0205869664507579,2.058696645075786
next_open,2025-02-06,12956134107.892548,129561241.07892548,4,4,100.0,inf,1.0205975345964569,2.0597534596456857
same_close,2025-01-06,12428079696.926184,124280696.96926184,4,4,100.0,inf,0.9790009421656367,2.099905783436329
next_open,2025-02-05,12961634625.619278,129616246.25619277,4,4,100.0,inf,1.0210308285701188,2.1030828570118842
next_open,2025-02-13,12963378692.21556,129633686.9221556,4,4,100.0,inf,1.021168214464207,2.1168214464206914
next_open,2025-02-19,12965391076.74973,129653810.76749729,4,4,100.0,inf,1.021326736649693,2.132673664969298
same_open,2025-01-16,12420944814.364077,124209348.14364077,4,4,100.0,inf,0.9784389038684191,2.156109613158086
next_open,2025-01-09,12415339304.07663,124153293.04076628,4,4,100.0,inf,0.9779973392834989,2.2002660716501143
same_open,2025-01-18,12975181721.759708,129751717.21759708,4,4,100.0,inf,1.022097978138557,2.2097978138557073
same_close,2025-01-20,12411189756.782726,124111797.56782725,4,4,100.0,inf,0.9776704657190095,2.2329534280990493
same_close,2025-01-27,12404992728.384768,124049827.28384767,4,4,100.0,inf,0.9771823052961464,2.281769470385364
next_open,2025-01-02,13000943203.520065,130009332.03520064,4,4,100.0,inf,1.024127295259947,2.4127295259946946
next_open,2025-01-07,13006175403.308907,130061654.03308906,4,4,100.0,inf,1.0245394529422107,2.4539452942210715
same_open,2025-01-30,13012702355.257462,130126923.55257462,4,4,100.0,inf,1.0250536025343384,2.5053602534338415
same_open,2025-01-25,13012702355.257462,130126923.55257462,4,4,100.0,inf,1.0250536025343384,2.5053602534338415
same_open,2025-01-24,13027238494.725134,130272284.94725135,4,4,100.0,inf,1.0261986623168102,2.619866231681023
same_close,2025-02-03,12328076670.03363,123280666.7003363,4,4,100.0,inf,0.9711233729888443,2.8876627011155676
next_open,2025-02-10,13076340544.066963,130763305.44066963,4,4,100.0,inf,1.0300665931428254,3.006659314282545
same_close,2025-01-28,12308027460.510822,123080174.60510822,4,4,100.0,inf,0.9695440304442869,3.045596955571306
next_open,2025-02-14,13083182651.483139,130831726.5148314,4,4,100.0,inf,1.0306055685734778,3.060556857347785
same_close,2025-01-19,12301344390.669888,123013343.90669887,4,4,100.0,inf,0.9690175829294345,3.098241707056548
next_open,2025-02-15,13092707938.27821,130926979.3827821,4,4,100.0,inf,1.031355906918112,3.1355906918111964
next_open,2025-02-02,13103977291.669563,131039672.91669564,4,4,100.0,inf,1.0322436311568342,3.224363115683415
next_open,2025-02-24,12282790242.759304,122827802.42759304,4,4,100.0,inf,0.9675560113328158,3.244398866718423
next_open,2025-02-04,13118868937.22242,131188589.3722242,4,4,100.0,inf,1.033416695329431,3.3416695329431034
next_open,2025-02-12,13131748198.241108,131317381.98241107,4,4,100.0,inf,1.034431237316542,3.4431237316542074
same_close,2025-02-01,12228559684.584055,122285496.84584054,4,4,100.0,inf,0.9632840909040412,3.6715909095958787
next_open,2025-01-03,13165422099.446217,131654120.99446216,4,4,100.0,inf,1.037083841887009,3.7083841887008973
same_open,2025-02-20,12217438861.816656,122174288.61816657,4,4,100.0,inf,0.9624080669138159,3.7591933086184137
