mode,pre_days,post_days,final,return_pct,trades,wins,win_pct,profit_factor,log_final_error,claim_ratio
same_open,760,530,12112321770.064335,121123117.70064335,4,4,100.0,inf,0.04695781571515037,0.9541276459338404
same_close,600,520,12107582232.142694,121075722.32142694,4,4,100.0,inf,0.04734919117078436,0.9537542968562783
same_close,800,480,13311837478.643938,133118274.78643937,4,4,100.0,inf,0.04747259709080254,1.0486174655583764
same_close,820,370,13317152289.728361,133171422.89728361,4,4,100.0,inf,0.04787177191502412,1.0490361308056204
same_open,600,530,12076241338.634672,120762313.38634673,4,4,100.0,inf,0.04994108165176667,0.9512854710182644
same_open,670,600,12035787345.382195,120357773.45382194,4,4,100.0,inf,0.05329658787979869,0.9480987761728545
same_open,730,550,12029880323.498758,120298703.23498759,4,4,100.0,inf,0.053787496512240504,0.9476334605223034
next_open,700,540,13416024636.471498,134160146.36471498,4,4,100.0,inf,0.05526878259121126,1.0568246325674493
next_open,600,540,13432978276.029234,134329682.76029235,4,4,100.0,inf,0.05653167059239684,1.0581601268276177
same_close,820,410,13453513278.406475,134535032.78406474,4,4,100.0,inf,0.058059203950821314,1.0597777368820225
same_close,700,540,13458530466.614704,134585204.66614702,4,4,100.0,inf,0.05843206216358962,1.0601729573909555
next_open,720,560,11958596349.631643,119585863.49631643,4,4,100.0,inf,0.059730698713916744,0.942018186137277
same_close,690,560,13495424763.372654,134954147.63372654,4,4,100.0,inf,0.061169643307782295,1.0630792431702063
same_close,600,530,11936686621.94782,119366766.21947822,4,4,100.0,inf,0.061564511173877234,0.9402922844237275
same_open,800,480,13506688581.460754,135066785.81460753,4,4,100.0,inf,0.06200393494989147,1.0639665313747837
next_open,820,450,11892827840.102531,118928178.40102531,4,4,100.0,inf,0.06524556237108096,0.9368373831199166
same_close,640,550,13568599331.460165,135685893.31460163,4,4,100.0,inf,0.06657717222080681,1.0688434459148952
same_open,780,510,13580787217.29311,135807772.1729311,4,4,100.0,inf,0.06747501104525279,1.0698035259919816
same_close,620,550,13588263834.312843,135882538.3431284,4,4,100.0,inf,0.06802538854605437,1.0703924838426737
next_open,690,560,13591328537.268345,135913185.37268347,4,4,100.0,inf,0.06825090355206269,1.0706339006306298
next_open,710,540,13593924384.392565,135939143.84392565,4,4,100.0,inf,0.06844187820582726,1.0708383840940692
same_close,820,380,11803105629.968618,118030956.29968618,4,4,100.0,inf,0.07281839245413635,0.9297696678818168
next_open,730,550,13701052504.11519,137010425.0411519,4,4,100.0,inf,0.07629157672307534,1.0792772203985084
same_open,620,550,13702337534.07356,137023275.3407356,4,4,100.0,inf,0.07638536292671799,1.0793784464584173
next_open,610,560,11756422172.144773,117564121.72144772,4,4,100.0,inf,0.0767814191595252,0.9260922575088855
same_open,640,550,13708910877.933558,137089008.7793356,4,4,100.0,inf,0.07686497216502775,1.0798962504948453
next_open,760,540,11744979892.166798,117449698.92166796,4,4,100.0,inf,0.07775517220207052,0.9251909112710003
same_close,710,530,13755685005.65826,137556750.0565826,4,4,100.0,inf,0.08027111534259324,1.0835808032357475
same_open,770,470,11712006043.440517,117119960.43440518,4,4,100.0,inf,0.08056660505503767,0.9225934521496334
same_open,630,550,11711526309.105814,117115163.09105815,4,4,100.0,inf,0.08060756679620895,0.9225556618894228
same_open,810,500,11696068720.271358,116960587.2027136,4,4,100.0,inf,0.08192829975164413,0.9213380164927424
